180 1f8
200 24f
2b8 2ba
2bd 2c5
2d2 2d7
2e1 2ff
30c 30e
335 338
345 34f
351 353
35d 362
370 377
37a 37f
3d3 3ff
514 525
7eb 7f3
e9c e9f
ea1 ea3
ead eb9
ec0 ec3
ec8 ecd
ed0 ed9
1401 1507
1510 156a
1574 1585
158a 1596
15a0 15af
166e 1676
1680 169c
1d00 1d6a
1d9b 1dbf
1dc4 1dc9
1e02 1e9f
1f00 1fff
203f 205e
2070 209c
2100 215a
216c 216f
217a 2185
222f 2233
2238 2263
226c 2281
2288 2307
230c 2312
2318 232c
2373 2375
239b 23ae
254c 254f
2575 2580
2596 259f
25ab 25b1
25c2 25c5
25d2 25e1
25e7 2604
260a 260d
2610 261b
261f 262b
262d 263f
2643 2653
2670 267f
2686 26c3
27e6 27eb
27f0 28ff
29ce 29d5
2a00 2a02
2a0c 2a1c
2a7d 2aa0
2aae 2aba
2b00 2b1a
2b1f 2b24
2b53 2b54
2c60 2c7f
2d30 2d65
2e22 2e25
4dc0 4dff
a4d0 a4ff
a644 a647
a654 a657
a662 a66e
a68a a68d
a708 a716
a71b a71f
a722 a72b
a730 a741
a746 a74b
a74e a753
a764 a767
a780 a783
a789 a791
a7a0 a7aa
a7f8 a7ff
ef00 ef19
f400 f441
fe00 fe0f
fe20 fe23
10300 10323
1d300 1d356
1d538 1d56b
1d5a0 1d607
1d756 1d78f
1d7d8 1d7f5
1ee00 1ee3b
1ee61 1ee7e
1f030 1f093
1f0a0 1f0df
1f311 1f318
1f600 1f643
